+---------------+--------------+--------------+
| ID            |   Rank (566) |   Percentile |
| 2022A7PS0174P |           89 |    84.4523   |
| 2022A7PS0175P |          226 |    60.6007   |
| 2022A7PS0177P |          120 |    78.9753   |
| 2022A7PS0178P |           14 |    97.7032   |
| 2022A7PS0180P |           78 |    86.3958   |
| 2022A7PS0182P |          226 |    60.6007   |
| 2022A7PS0183P |          446 |    21.5548   |
| 2022A7PS0184P |          446 |    21.5548   |
| 2022A7PS0185P |          551 |     2.82686  |
| 2022A7PS0187P |           10 |    98.4099   |
| 2022A7PS0189P |          542 |     4.59364  |
| 2022A7PS0190P |          348 |    38.6926   |
| 2022A7PS0195P |          514 |     9.54064  |
| 2022AAPS0198P |           13 |    97.8799   |
| 2022AAPS0203P |          203 |    64.311    |
| 2022AAPS0204P |           39 |    93.2862   |
| 2022AAPS0207P |          264 |    53.5336   |
| 2022A3PS0209P |          338 |    40.636    |
| 2022AAPS0210P |           58 |    89.9293   |
| 2022AAPS0211P |          331 |    41.8728   |
| 2022AAPS0214P |           68 |    88.1625   |
| 2022AAPS0215P |           66 |    88.6926   |
| 2022AAPS0216P |          192 |    66.6078   |
| 2022AAPS0217P |          220 |    61.4841   |
| 2022AAPS0218P |           16 |    97.3498   |
| 2022AAPS0219P |          310 |    45.4064   |
| 2022A3PS0221P |           19 |    96.9965   |
| 2022AAPS0222P |          290 |    48.9399   |
| 2022A4PS0223P |          516 |     9.0106   |
| 2022AAPS0226P |          222 |    61.1307   |
| 2022AAPS0230P |          562 |     0.883392 |
| 2022AAPS0231P |          334 |    41.1661   |
| 2022AAPS0232P |          266 |    53.1802   |
| 2022AAPS0234P |          134 |    76.6784   |
| 2022AAPS0235P |          550 |     3.00353  |
| 2022AAPS0240P |          343 |    39.576    |
| 2022AAPS0241P |          262 |    54.0636   |
| 2022AAPS0243P |          248 |    56.3604   |
| 2022AAPS0244P |          293 |    48.4099   |
| 2022AAPS0247P |           84 |    85.3357   |
| 2022AAPS0248P |          307 |    45.9364   |
| 2022AAPS0249P |          362 |    36.5724   |
| 2022AAPS0250P |          331 |    41.8728   |
| 2022AAPS0251P |          178 |    68.7279   |
| 2022AAPS0252P |          388 |    31.8021   |
| 2022AAPS0253P |           28 |    95.2297   |
| 2022A4PS0254P |          512 |     9.89399  |
| 2022AAPS0255P |          528 |     6.89046  |
| 2022AAPS0256P |          101 |    82.3322   |
| 2022AAPS0257P |          495 |    12.7208   |
| 2022AAPS0258P |          136 |    76.1484   |
| 2022A3PS0260P |          276 |    51.5901   |
| 2022AAPS0264P |          192 |    66.6078   |
| 2022AAPS0266P |          111 |    80.5654   |
| 2022AAPS0268P |          259 |    54.5936   |
| 2022AAPS0292P |          211 |    62.8975   |
| 2022AAPS0300P |          249 |    56.1837   |
| 2022AAPS0305P |          350 |    38.3392   |
| 2022AAPS0311P |           70 |    87.9859   |
| 2022AAPS0313P |          324 |    42.9329   |
| 2022AAPS0314P |          147 |    74.2049   |
| 2022AAPS0318P |          476 |    16.2544   |
| 2022AAPS0322P |          453 |    20.1413   |
| 2022AAPS0323P |           44 |    92.4028   |
| 2022AAPS0326P |          282 |    50.53     |
| 2022A3PS0327P |          247 |    56.5371   |
| 2022A3PS0329P |           21 |    96.4664   |
| 2022AAPS0331P |           36 |    93.8163   |
| 2022AAPS0339P |          115 |    80.0353   |
| 2022AAPS0344P |          208 |    63.7809   |
| 2022AAPS0347P |          215 |    62.1908   |
| 2022A4PS0355P |          478 |    15.7244   |
| 2022A3PS0357P |          175 |    69.258    |
| 2022AAPS0358P |          208 |    63.7809   |
| 2022AAPS0360P |          284 |    50        |
| 2022AAPS0363P |          160 |    72.0848   |
| 2022A3PS0364P |          163 |    71.3781   |
| 2022AAPS0366P |          257 |    54.7703   |
| 2022AAPS0369P |          454 |    19.9647   |
| 2022A4PS0372P |          254 |    55.3004   |
| 2022A3PS0375P |          436 |    23.4982   |
| 2022A3PS0376P |          497 |    12.5442   |
| 2022A3PS0377P |          456 |    19.6113   |
| 2022A3PS0378P |          502 |    11.4841   |
| 2022A3PS0380P |          311 |    45.2297   |
| 2022A3PS0384P |          296 |    48.0565   |
| 2022A3PS0387P |          231 |    59.364    |
| 2022A3PS0389P |          313 |    44.8763   |
| 2022A3PS0392P |           54 |    90.8127   |
| 2022A3PS0394P |          333 |    41.3428   |
| 2022A3PS0399P |          449 |    20.8481   |
| 2022A3PS0402P |          302 |    46.8198   |
| 2022A4PS0403P |          384 |    32.5088   |
| 2022A3PS0405P |          345 |    39.2226   |
| 2022A3PS0406P |          456 |    19.6113   |
| 2022A8PS0408P |          176 |    69.0813   |
| 2022A3PS0410P |          222 |    61.1307   |
| 2022A3PS0412P |          204 |    64.1343   |
| 2022A3PS0418P |           34 |    94.1696   |
| 2022A3PS0419P |            9 |    98.5866   |
| 2022A3PS0420P |          384 |    32.5088   |
| 2022A4PS0422P |          314 |    44.6996   |
| 2022A3PS0425P |          164 |    71.2014   |
| 2022A3PS0427P |          356 |    37.2792   |
| 2022A3PS0429P |          131 |    77.0318   |
| 2022A3PS0430P |          172 |    69.9647   |
| 2022A3PS0431P |          371 |    34.629    |
| 2022A3PS0437P |           97 |    83.2155   |
| 2022A3PS0441P |          400 |    29.5053   |
| 2022A3PS0444P |          547 |     3.53357  |
| 2022A3PS0445P |          407 |    28.4452   |
| 2022A3PS0447P |          497 |    12.5442   |
| 2022A3PS0448P |          226 |    60.6007   |
| 2022A4PS0449P |          213 |    62.7208   |
| 2022A3PS0450P |          182 |    68.3746   |
| 2022A3PS0454P |          100 |    82.6855   |
| 2022A3PS0456P |          146 |    74.5583   |
| 2022A3PS0457P |          394 |    30.5654   |
| 2022A3PS0458P |          110 |    80.9187   |
| 2022A8PS0462P |           43 |    92.5795   |
| 2022A3PS0465P |          222 |    61.1307   |
| 2022A4PS0466P |            5 |    99.2933   |
| 2022A3PS0467P |          526 |     7.24382  |
| 2022A3PS0471P |           94 |    83.7456   |
| 2022A3PS0473P |          189 |    66.7845   |
| 2022A3PS0475P |          483 |    14.841    |
| 2022A3PS0476P |          418 |    26.3251   |
| 2022A3PS0478P |           80 |    86.0424   |
| 2022A3PS0479P |          362 |    36.5724   |
| 2022A8PS0481P |          431 |    24.0283   |
| 2022A3PS0483P |          278 |    51.2367   |
| 2022A3PS0484P |          254 |    55.3004   |
| 2022A4PS0485P |          520 |     8.48057  |
| 2022A4PS0490P |          312 |    45.053    |
| 2022A3PS0492P |           38 |    93.4629   |
| 2022A3PS0493P |           26 |    95.9364   |
| 2022A3PS0498P |           94 |    83.7456   |
| 2022A3PS0500P |          410 |    27.9152   |
| 2022A3PS0503P |          536 |     5.47703  |
| 2022A3PS0504P |          328 |    42.2261   |
| 2022A3PS0507P |          533 |     6.00707  |
| 2022A3PS0508P |          341 |    39.9293   |
| 2022A3PS0510P |          514 |     9.54064  |
| 2022A8PS0511P |          564 |     0.706714 |
| 2022A8PS0515P |          156 |    72.7915   |
| 2022A3PS0523P |          160 |    72.0848   |
| 2022A3PS0526P |          170 |    70.1413   |
| 2022A3PS0528P |          286 |    49.6466   |
| 2022A1PS0530P |          482 |    15.0177   |
| 2022A3PS0538P |          522 |     7.95053  |
| 2022A8PS0539P |          250 |    56.0071   |
| 2022A8PS0540P |           64 |    88.8693   |
| 2022A4PS0543P |          103 |    81.9788   |
| 2022A4PS0545P |          465 |    18.1979   |
| 2022A4PS0546P |          368 |    35.3357   |
| 2022A4PS0556P |            6 |    99.1166   |
| 2022A8PS0557P |          326 |    42.7562   |
| 2022A4PS0558P |           75 |    87.1025   |
| 2022A8PS0561P |           26 |    95.9364   |
| 2022A8PS0564P |          102 |    82.1555   |
| 2022A8PS0566P |           77 |    86.5724   |
| 2022A8PS0567P |          134 |    76.6784   |
| 2022A8PS0570P |          186 |    67.4912   |
| 2022A8PS0572P |          399 |    29.682    |
| 2022A4PS0578P |           66 |    88.6926   |
| 2022A8PS0583P |          122 |    78.7986   |
| 2022A8PS0586P |          494 |    12.8975   |
| 2022A8PS0587P |           41 |    93.1095   |
| 2022A1PS0589P |          298 |    47.5265   |
| 2022A8PS0590P |          410 |    27.9152   |
| 2022A8PS0591P |          246 |    56.8905   |
| 2022A1PS0593P |          286 |    49.6466   |
| 2022A8PS0595P |          469 |    17.3145   |
| 2022A4PS0599P |          410 |    27.9152   |
| 2022A8PS0611P |          202 |    64.6643   |
| 2022A4PS0615P |          444 |    21.9081   |
| 2022A4PS0617P |          452 |    20.318    |
| 2022A8PS0619P |          326 |    42.7562   |
| 2022A8PS0620P |          306 |    46.1131   |
| 2022A8PS0622P |          390 |    31.2721   |
| 2022A4PS0624P |          317 |    44.1696   |
| 2022A4PS0626P |          476 |    16.2544   |
| 2022A4PS0640P |          331 |    41.8728   |
| 2022A1PS0643P |          347 |    38.8693   |
| 2022A4PS0649P |           82 |    85.689    |
| 2022A4PS0651P |          276 |    51.5901   |
| 2022A4PS0660P |          366 |    35.5124   |
| 2022A1PS0661P |          540 |     4.77032  |
| 2022A4PS0669P |          156 |    72.7915   |
| 2022A4PS0673P |          353 |    37.8092   |
| 2022A4PS0675P |          198 |    65.371    |
| 2022A4PS0676P |          270 |    52.4735   |
| 2022A4PS0680P |          200 |    65.0177   |
| 2022A4PS0684P |          376 |    34.0989   |
| 2022A4PS0689P |          104 |    81.8021   |
| 2022A4PS0694P |          149 |    74.0283   |
| 2022A4PS0697P |           46 |    92.0495   |
| 2022A4PS0702P |          380 |    33.2155   |
| 2022A4PS0703P |           86 |    85.159    |
| 2022A4PS0708P |          484 |    14.6643   |
| 2022A1PS0714P |          274 |    51.9435   |
| 2022A4PS0716P |          424 |    25.265    |
| 2022A4PS0719P |          413 |    27.2085   |
| 2022A4PS0723P |          316 |    44.3463   |
| 2022A4PS0725P |          508 |    10.6007   |
| 2022A4PS0738P |          499 |    12.0141   |
| 2022A1PS0742P |          140 |    75.4417   |
| 2022A4PS0748P |          132 |    76.8551   |
| 2022A4PS0749P |          468 |    17.4912   |
| 2022A4PS0774P |          122 |    78.7986   |
| 2022A4PS0781P |          151 |    73.4982   |
| 2022A4PS0782P |           54 |    90.8127   |
| 2022A1PS0784P |          458 |    19.258    |
| 2022A4PS0792P |          138 |    75.7951   |
| 2022A4PS0795P |          523 |     7.77385  |
| 2022A4PS0798P |          296 |    48.0565   |
| 2022A4PS0806P |          400 |    29.5053   |
| 2022A4PS0808P |          336 |    40.8127   |
| 2022A1PS0820P |          300 |    47.1731   |
| 2022A1PS0824P |          168 |    70.4947   |
| 2022A4PS0827P |          274 |    51.9435   |
| 2022A4PS0831P |          168 |    70.4947   |
| 2022A1PS0832P |          465 |    18.1979   |
| 2022A1PS0841P |          106 |    81.4488   |
| 2022A4PS0843P |          230 |    59.7173   |
| 2022A4PS0855P |          460 |    19.0813   |
| 2022A4PS0868P |          129 |    77.3852   |
| 2022A4PS0871P |          542 |     4.59364  |
| 2022A1PS0883P |          503 |    11.3074   |
| 2022A4PS0895P |          328 |    42.2261   |
| 2022A4PS0896P |          497 |    12.5442   |
| 2022A4PS0897P |          104 |    81.8021   |
| 2022A4PS0899P |          192 |    66.6078   |
| 2022A1PS0900P |          460 |    19.0813   |
| 2022A4PS0902P |          299 |    47.3498   |
| 2022A1PS0903P |          253 |    55.477    |
| 2022A4PS0911P |          237 |    58.3039   |
| 2022A4PS0915P |          388 |    31.8021   |
| 2022A4PS0919P |           97 |    83.2155   |
| 2022A4PS0921P |          272 |    52.2968   |
| 2022A4PS0924P |          302 |    46.8198   |
| 2022A4PS0925P |          368 |    35.3357   |
| 2022A4PS0926P |          320 |    43.6396   |
| 2022A4PS0941P |          235 |    58.8339   |
| 2022A4PS0942P |          362 |    36.5724   |
| 2022A4PS0945P |          554 |     2.29682  |
| 2022A1PS0946P |          521 |     8.12721  |
| 2022A4PS0947P |           72 |    87.6325   |
| 2022A1PS0948P |          370 |    34.9823   |
| 2022A4PS0953P |          534 |     5.83039  |
| 2022A4PS0955P |          524 |     7.59717  |
| 2022A4PS0957P |          535 |     5.65371  |
| 2022A1PS0959P |          344 |    39.3993   |
| 2022A4PS0962P |          292 |    48.7633   |
| 2022A4PS0965P |          436 |    23.4982   |
| 2022A4PS0969P |          308 |    45.7597   |
| 2022A4PS0973P |          244 |    57.0671   |
| 2022A4PS0975P |          474 |    16.6078   |
| 2022A1PS0982P |          492 |    13.2509   |
| 2022A1PS0984P |          304 |    46.4664   |
| 2022A1PS0992P |          200 |    65.0177   |
| 2022A1PS1022P |          263 |    53.7102   |
| 2022A1PS1043P |          308 |    45.7597   |
| 2022A1PS1056P |          543 |     4.24028  |
| 2022A1PS1057P |           52 |    91.1661   |
| 2022A1PS1069P |          532 |     6.18375  |
| 2022A1PS1099P |           47 |    91.8728   |
| 2022A1PS1104P |          420 |    25.9717   |
| 2022A1PS1115P |          395 |    30.3887   |
| 2022A1PS1126P |          463 |    18.3746   |
| 2022A1PS1134P |          465 |    18.1979   |
| 2022A1PS1149P |           81 |    85.8657   |
| 2022A1PS1162P |          446 |    21.5548   |
| 2022A7PS1168P |          390 |    31.2721   |
| 2022A7PS1169P |          491 |    13.4276   |
| 2022A7PS1170P |          288 |    49.2933   |
| 2022A7PS1171P |          283 |    50.1767   |
| 2022A7PS1172P |          455 |    19.788    |
| 2022A7PS1173P |          436 |    23.4982   |
| 2022A7PS1174P |           57 |    90.106    |
| 2022A7PS1175P |          334 |    41.1661   |
| 2022A7PS1176P |           41 |    93.1095   |
| 2022A7PS1177P |          246 |    56.8905   |
| 2022A7PS1178P |          208 |    63.7809   |
| 2022A7PS1179P |          544 |     4.0636   |
| 2022A7PS1180P |           44 |    92.4028   |
| 2022A7PS1181P |          407 |    28.4452   |
| 2022A7PS1182P |          404 |    28.9753   |
| 2022A7PS1183P |          525 |     7.42049  |
| 2022A7PS1184P |          398 |    30.0353   |
| 2022A7PS1185P |          152 |    73.3216   |
| 2022A7PS1186P |          205 |    63.9576   |
| 2022A7PS1187P |          124 |    78.2686   |
| 2022A7PS1188P |          174 |    69.4346   |
| 2022A7PS1189P |          305 |    46.2898   |
| 2022AAPS1191P |          354 |    37.6325   |
| 2022AAPS1192P |          112 |    80.3887   |
| 2022A3PS1194P |           22 |    96.2898   |
| 2022A3PS1195P |          436 |    23.4982   |
| 2022A3PS1196P |          410 |    27.9152   |
| 2022A3PS1197P |          467 |    17.6678   |
| 2022A3PS1198P |          119 |    79.1519   |
| 2022A3PS1199P |          462 |    18.5512   |
| 2022A3PS1200P |           54 |    90.8127   |
| 2022A3PS1204P |          242 |    57.4205   |
| 2022A3PS1205P |          113 |    80.212    |
| 2022A3PS1206P |           86 |    85.159    |
| 2022A3PS1207P |          135 |    76.3251   |
| 2022A3PS1209P |          365 |    35.689    |
| 2022A8PS1210P |          490 |    13.7809   |
| 2022A3PS1211P |          555 |     2.12014  |
| 2022A3PS1212P |          376 |    34.0989   |
| 2022A3PS1213P |           63 |    89.0459   |
| 2022A3PS1214P |           32 |    94.523    |
| 2022A3PS1215P |          280 |    50.7067   |
| 2022A3PS1216P |           90 |    84.2756   |
| 2022A3PS1217P |          220 |    61.4841   |
| 2022A3PS1218P |           26 |    95.9364   |
| 2022A3PS1219P |          430 |    24.3816   |
| 2022A3PS1220P |           62 |    89.3993   |
| 2022A3PS1221P |            1 |   100        |
| 2022A3PS1222P |           50 |    91.5194   |
| 2022A3PS1223P |          285 |    49.8233   |
| 2022A3PS1224P |          432 |    23.8516   |
| 2022A8PS1225P |          161 |    71.7314   |
| 2022A3PS1226P |          510 |    10.0707   |
| 2022A3PS1227P |          240 |    58.1272   |
| 2022A3PS1228P |          188 |    66.9611   |
| 2022A3PS1229P |          262 |    54.0636   |
| 2022A3PS1230P |          427 |    24.735    |
| 2022A3PS1231P |          202 |    64.6643   |
| 2022A3PS1232P |          407 |    28.4452   |
| 2022A3PS1233P |          432 |    23.8516   |
| 2022A3PS1234P |           60 |    89.576    |
| 2022A8PS1235P |           56 |    90.2827   |
| 2022A8PS1236P |          342 |    39.7527   |
| 2022A8PS1238P |           75 |    87.1025   |
| 2022A8PS1239P |          382 |    32.6855   |
| 2022A8PS1240P |          192 |    66.6078   |
| 2022A8PS1241P |          472 |    16.9611   |
| 2022A8PS1243P |          402 |    29.1519   |
| 2022A8PS1244P |          404 |    28.9753   |
| 2022A8PS1245P |          122 |    78.7986   |
| 2022A8PS1248P |          354 |    37.6325   |
| 2022A8PS1249P |          235 |    58.8339   |
| 2022A8PS1250P |          259 |    54.5936   |
| 2022A8PS1252P |          218 |    61.8375   |
| 2022A8PS1253P |          520 |     8.48057  |
| 2022A8PS1254P |          282 |    50.53     |
| 2022A8PS1255P |          182 |    68.3746   |
| 2022A8PS1256P |          315 |    44.523    |
| 2022A8PS1258P |          501 |    11.6608   |
| 2022A8PS1260P |           14 |    97.7032   |
| 2022A8PS1261P |          232 |    59.1873   |
| 2022A8PS1263P |          278 |    51.2367   |
| 2022A8PS1265P |          508 |    10.6007   |
| 2022A8PS1267P |          338 |    40.636    |
| 2022A8PS1270P |          198 |    65.371    |
| 2022A4PS1272P |          182 |    68.3746   |
| 2022A4PS1273P |          549 |     3.18021  |
| 2022A4PS1274P |          378 |    33.3922   |
| 2022A4PS1275P |          126 |    77.9152   |
| 2022A4PS1276P |          346 |    39.0459   |
| 2022A4PS1277P |           62 |    89.3993   |
| 2022A4PS1278P |          289 |    49.1166   |
| 2022A4PS1281P |           31 |    94.6996   |
| 2022A4PS1283P |          321 |    43.4629   |
| 2022A4PS1284P |          358 |    37.1025   |
| 2022A4PS1287P |          300 |    47.1731   |
| 2022A4PS1289P |          362 |    36.5724   |
| 2022A4PS1291P |          216 |    62.0141   |
| 2022A4PS1292P |           59 |    89.7527   |
| 2022A4PS1293P |          240 |    58.1272   |
| 2022A4PS1294P |          504 |    11.1307   |
| 2022A4PS1295P |          266 |    53.1802   |
| 2022A4PS1296P |          142 |    75.265    |
| 2022A4PS1301P |          187 |    67.1378   |
| 2022A1PS1306P |          137 |    75.9717   |
| 2022A1PS1307P |          172 |    69.9647   |
| 2022A1PS1311P |          208 |    63.7809   |
| 2022A1PS1316P |          539 |     4.947    |
| 2022A1PS1322P |          259 |    54.5936   |
| 2022A1PS1325P |          560 |     1.23675  |
| 2022A1PS1327P |          486 |    14.4876   |
| 2022A1PS1328P |          384 |    32.5088   |
| 2022A1PS1330P |          552 |     2.65018  |
| 2022A1PS1339P |          488 |    13.9576   |
| 2022A1PS1340P |          130 |    77.2085   |
| 2022A1PS1342P |          442 |    22.0848   |
| 2022A1PS1343P |          386 |    31.9788   |
| 2022A1PS1351P |          493 |    13.0742   |
| 2022A1PS1353P |          506 |    10.7774   |
| 2022A1PS1354P |          108 |    81.0954   |
| 2022A1PS1356P |          428 |    24.5583   |
| 2022A1PS1360P |          514 |     9.54064  |
| 2022A4PS1365P |          396 |    30.212    |
| 2022A5PS1443P |          486 |    14.4876   |
| 2022A5PS1447P |          372 |    34.4523   |
| 2022A5PS1448P |          528 |     6.89046  |
| 2022A5PS1451P |          559 |     1.41343  |
| 2022A5PS1454P |          505 |    10.9541   |
| 2022A5PS1462P |          398 |    30.0353   |
| 2022A5PS1463P |          512 |     9.89399  |
| 2022A5PS1465P |          561 |     1.06007  |
| 2022A8PS1560P |          126 |    77.9152   |
| 2022A4PS1562P |          149 |    74.0283   |
| 2022A4PS1563P |           50 |    91.5194   |
| 2022A1PS1565P |           72 |    87.6325   |
| 2022A1PS1567P |          490 |    13.7809   |
| 2022A1PS1568P |           92 |    83.9223   |
| 2022A1PS1571P |          446 |    21.5548   |
| 2022A1PS1572P |          118 |    79.5053   |
| 2022A1PS1573P |          472 |    16.9611   |
| 2022A1PS1576P |          233 |    59.0106   |
| 2022A1PS1578P |          256 |    54.947    |
| 2022A1PS1595P |           90 |    84.2756   |
| 2022A1PS1596P |          149 |    74.0283   |
| 2022A1PS1597P |          422 |    25.7951   |
| 2022A1PS1598P |          537 |     5.30035  |
| 2022A1PS1610P |          430 |    24.3816   |
| 2022A1PS1615P |          450 |    20.6714   |
| 2022A1PS1631P |          556 |     1.94346  |
| 2022A1PS1666P |           82 |    85.689    |
| 2022A1PS1667P |          476 |    16.2544   |
| 2022A1PS1668P |          372 |    34.4523   |
| 2022A1PS1695P |          240 |    58.1272   |
| 2022A8PS1719P |          235 |    58.8339   |
| 2022A1PS1729P |          388 |    31.8021   |
| 2022A1PS1730P |          553 |     2.4735   |
| 2022A8PS1731P |          172 |    69.9647   |
| 2022A8PS1732P |           52 |    91.1661   |
| 2022A3PS1734P |          352 |    38.1625   |
| 2021B5TS2070P |          518 |     8.65724  |
| 2021D2TS2083P |          557 |     1.76678  |
| 2021D2TS2087P |          530 |     6.5371   |
| 2020B5A22011  |          558 |     1.59011  |
+---------------+--------------+--------------+
